,gs2046,gs2081
1,23.958031968,38.7608891109
2,22.6479420579,37.4065134865
3,23.6108191808,37.9993906094
4,22.3022977023,36.9765834166
5,23.9022377622,38.5536663337
6,22.9375324675,37.6675324675
7,23.9787912088,38.5487912088
8,24.3811688312,38.7525974026
9,24.1315084915,38.7815084915
10,23.0606493506,37.7963636364
11,23.8603596404,38.5603596404
12,24.21998002,38.8428371628
13,23.3955444555,38.1712587413
14,24.21998002,38.8428371628
15,23.233966034,37.9568231768
16,23.5655944056,38.3327372627
17,23.2782517483,38.0082517483
18,23.8213586414,38.6827872128
19,24.1009390609,38.8823676324
20,23.2870829171,38.2742257742
21,23.6041658342,38.3641658342
22,23.7853446553,38.9053446553
23,23.9008591409,38.918001998
24,23.8905094905,38.6847952048
25,23.8905094905,38.6847952048
26,23.7971728272,38.64002997
27,23.8905094905,38.6847952048
28,24.1298101898,38.4883816184
29,23.7742557443,38.6085414585
30,24.2647752248,39.1604895105
31,24.2498901099,38.6727472527
32,23.8156843157,38.5613986014
33,23.94,38.7942857143
34,23.9622977023,38.5837262737
35,24.1667832168,38.4939260739
36,24.1796803197,38.6268231768
37,24.03004995,38.5529070929
38,24.1008691309,38.4951548452
39,24.2633966034,38.4633966034
40,24.2594605395,38.3551748252
41,24.056963037,38.5012487512
42,24.2675424575,38.4618281718
43,24.5313586414,38.4827872128
44,23.8411688312,38.3625974026
45,24.3757242757,38.77000999
46,23.9137162837,38.2822877123
47,24.1052047952,38.4137762238
48,23.7461338661,38.3404195804
49,24.1223476523,38.4652047952
50,24.1586413586,38.6914985015
51,24.2726973027,38.2798401598
52,24.2963236763,38.532037962
53,24.5052147852,38.4437862138
54,24.1422477522,38.5822477522
55,24.3491808192,38.5177522478
56,24.7385014985,38.7499300699
57,23.6311588412,38.1983016983
58,23.839040959,38.6376123876
59,24.7958341658,38.7486913087
60,24.0865334665,38.5793906094
61,25.3788711289,39.0088711289
62,25.1748651349,38.6834365634
63,25.0688611389,38.2231468531
64,24.8677522478,38.4306093906
65,23.9154945055,37.7383516484
